,key_0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error,track_id,track_name,country_x,country_y,c1,c2,c3,c4,c5,c6,Country,Alpha-2,Alpha-3,Continent,Anthem,country_lower,god,positivity,anger,sad,joy
180,sudan,0.376,0.201,3.0,-15.073,1.0,0.0379,0.628,0.868,0.0534,0.5,91.626,audio_features,6t9Jvyu0V236IPkuJflq8V,spotify:track:6t9Jvyu0V236IPkuJflq8V,https://api.spotify.com/v1/tracks/6t9Jvyu0V236IPkuJflq8V,https://api.spotify.com/v1/audio-analysis/6t9Jvyu0V236IPkuJflq8V,55253.0,4.0,,6t9Jvyu0V236IPkuJflq8V,"Sudan: Sudan [Nahnu Djundulla Djundulwatan (We Are the Army of God and of Our Land), ""We are the army of God and of our land…""] (2005 arrangement)",Sudan,sudan,#000000,#D21034,#FFFFFF,#007229,#2A894C,#7E382F,Sudan,SD,SDN,Africa,"We are the soldiers of God,  the soldiers of our homeland, We never fail when called for sacrifice. Death, we defy at adversity. Glory, we buy with the highest price. This land is ours. May, our Sudan, live long, an edifice among the nations, O Sons of the Sudan, this is your symbol, which shoulders your burden and shields your land. ",sudan,present,,,,
185,syria,0.442,0.276,6.0,-17.375,0.0,0.12,0.904,0.586,0.0493,0.537,89.435,audio_features,46l6eeaWaJqNYYaBL3H71l,spotify:track:46l6eeaWaJqNYYaBL3H71l,https://api.spotify.com/v1/tracks/46l6eeaWaJqNYYaBL3H71l,https://api.spotify.com/v1/audio-analysis/46l6eeaWaJqNYYaBL3H71l,54813.0,4.0,,46l6eeaWaJqNYYaBL3H71l,"Syria: Syria [Homat El Diyar (Guardians of the Homeland, ""Defenders of the realm, peace on you…""]",Syria,syria,#000000,#CE1126,#FFFFFF,#EFB0B7,#309361,#70B492,Syria,SY,SYR,Asia,"Guardians of the homeland, upon you be peace, our proud spirits refuse to be humiliated. The den of Arabism is a sacred sanctuary, and the throne of the suns is a preserve that will not be subjugated. The quarters of Levant are towers in height, which are in dialogue with the zenith of the skies. A land resplendent with brilliant suns, becoming another sky or almost a sky. The flutter of hopes and the beat of the heart, are on a flag that united the entire country. Is there not blackness from every eye, and ink from every martyr's blood? Our spirits are defiant and our history is glorious, and our martyrs' souls are formidable guardians. From us is al-Wal?d, and from us is al-Rash?d. So why then shall we not lead, why then shall we not rise?",syria,absent,,,,
191,togo,0.476,0.371,0.0,-13.036,1.0,0.0592,0.801,0.799,0.0842,0.371,96.256,audio_features,6SuBuQc3NMVuhDDhpjcxF1,spotify:track:6SuBuQc3NMVuhDDhpjcxF1,https://api.spotify.com/v1/tracks/6SuBuQc3NMVuhDDhpjcxF1,https://api.spotify.com/v1/audio-analysis/6SuBuQc3NMVuhDDhpjcxF1,61547.0,4.0,,6SuBuQc3NMVuhDDhpjcxF1,"Togo: Togo [Salut a toi, pays de nos aieux (Hail to Thee, Land of Our Forefathers), ""Hail to thee, land of our forefathers…""]",Togo,togo,#006A4E,#FFCE00,#D21034,#FFFDFD,#F2BAC4,#E2647B,Togo,TG,TGO,Africa,"Hail to thee, land of our forefathers' Thou who made them strong, Peaceful and happy, Cultivated virtue and bravery For prosperity. Even if tyrants shall come, Thy heart yearns towards freedom. Togo arise! Let us struggle without faltering. Victory or death, but dignity. God almighty, Thou alone, Hast made Togo prosper. People of Togo arise! Let us build the nation. To serve thee in unity Is the most burning desire of our hearts. Let us shout aloud our motto That nothing can tarnish. We the only builders of thy happiness and of thy future, Everywhere let us break chains and treachery, And we swear to thee for ever faith, Love, service, untiring zeal, To make thee yet, beloved Togo, A golden example for humanity. Hail, hail to the entire Universe Let us unite our efforts on this immense building site Whence will be reborn anew Great Humanity. Everywhere, instead of misery, let us bring happiness. Let us chase from the world unruly hatred. It's over with slavery and Captivity. At the star of liberty, Let us renew the solidarity Of the Nations in fraternity. ",togo,present,,,,
192,tonga,0.296,0.0821,7.0,-17.371,1.0,0.0447,0.943,0.946,0.311,0.246,116.386,audio_features,7zHkgqqxhkoOdAK2ypIOvr,spotify:track:7zHkgqqxhkoOdAK2ypIOvr,https://api.spotify.com/v1/tracks/7zHkgqqxhkoOdAK2ypIOvr,https://api.spotify.com/v1/audio-analysis/7zHkgqqxhkoOdAK2ypIOvr,75840.0,4.0,,7zHkgqqxhkoOdAK2ypIOvr,"Tonga: Tonga [Ko e fasi 'o e 'Otu Tonga (Song of the King of the Tonga Islands), ""Oh, Almighty God above""]",Tonga,tonga,#C10000,#FFFFFF,#D65555,#EFBFBF,#E49090,,Tonga,TO,TON,Oceania,"Oh almighty God above Thou art our lord and sure defense As your people, we trust thee And our Tonga thou dost love Hear our prayer for thou unseen We know that thou hath blessed our land Grant our earnest supplication God save our king.",tonga,present,,,,
193,trinidad and tobago,0.651,0.186,5.0,-15.073,1.0,0.049,0.761,0.984,0.173,0.697,102.095,audio_features,0TJqTd2yNyAPZRY1c06XSd,spotify:track:0TJqTd2yNyAPZRY1c06XSd,https://api.spotify.com/v1/tracks/0TJqTd2yNyAPZRY1c06XSd,https://api.spotify.com/v1/audio-analysis/0TJqTd2yNyAPZRY1c06XSd,75200.0,4.0,,0TJqTd2yNyAPZRY1c06XSd,"Trinidad and Tobago: ""Forged from the love of liberty…"" (arr. P. Breiner)",Trinidad and Tobago,trinidad and tobago,#CE1126,#000000,#FEFDFE,#DF6371,#E78893,#EEADB4,Trinidad and Tobago,TT,TTO,North_America,"Forged from the love of liberty In the fires of hope and prayer With boundless faith in our destiny We solemnly declare: Side by side we stand Islands of the blue Caribbean sea, This our native land We pledge our lives to thee. Here every creed and race find an equal place, And may God bless our nation Here every creed and race find an equal place, And may God bless our nation.",trinidad and tobago,present,,,,
194,tunisia,0.785,0.428,10.0,-14.986,1.0,0.037,0.888,0.938,0.0602,0.598,115.101,audio_features,6x0UtY6vZnKKYJK2ukM9tR,spotify:track:6x0UtY6vZnKKYJK2ukM9tR,https://api.spotify.com/v1/tracks/6x0UtY6vZnKKYJK2ukM9tR,https://api.spotify.com/v1/audio-analysis/6x0UtY6vZnKKYJK2ukM9tR,58707.0,4.0,,6x0UtY6vZnKKYJK2ukM9tR,Tunisia: O Defenders of the Homeland!… (arr. P. Breiner),Tunisia,tunisia,#E70013,#FFFEFE,#F16C77,#F7ADB4,#EC3847,,Tunisia,TN,TUN,Africa,"O defenders of the Homeland! Rally around to the glory of our time! The blood surges in our veins, We die for the sake of our land. Let the heavens roar with thunder Let thunderbolts rain with fire. Men and youth of Tunisia, Rise up for her might and glory. No place for traitors in Tunisia, Only for those who defend her! We live and die loyal to Tunisia, A life of dignity and a death of glory. As a nation we inherited Arms like granite towers. Holding aloft our proud flag flying, We boast of it, it boasts of us, Arms that achieve ambitions and glory, Sure to realize our hopes, Inflict defeat on foes, Offer peace to friends. When the people will to live, Destiny must surely respond. Oppression shall then vanish. Fetters are certain to break. ",tunisia,absent,,,,
195,turkey,0.598,0.329,7.0,-13.4,0.0,0.0471,0.856,0.982,0.11,0.644,102.396,audio_features,6SDYjXO6WjO0GY3dkzzzvI,spotify:track:6SDYjXO6WjO0GY3dkzzzvI,https://api.spotify.com/v1/tracks/6SDYjXO6WjO0GY3dkzzzvI,https://api.spotify.com/v1/audio-analysis/6SDYjXO6WjO0GY3dkzzzvI,68707.0,4.0,,6SDYjXO6WjO0GY3dkzzzvI,"Turkey: İstiklâl Marşı (Independence March), ""Fear not and be not dismayed…"" [arr. P. Breiner]",Turkey,turkey,#E30A17,#FFFEFE,#F9CDD0,#EF7279,#EA4953,,Turkey,TR,TUR,Asia,"Fear not! For the crimson flag that proudly ripples in this glorious twilight, shall not fade, Before the last fiery hearth that is ablaze within my nation is extinguished. For That is the star of my nation, and it will forever shine; It is mine; and solely belongs to my valiant nation.Frown not, I beseech you, oh thou coy crescent, But smile upon my heroic race! Why the anger, why the rage? This blood of ours which we shed for you shall not be blessed otherwise; For Freedom is the absolute right of my God-worshiping nation.I have been free since the beginning and forever shall be so. What madman shall put me in chains! I defy the very idea! I'm like the roaring flood; powerful and independent, I'll tear apart mountains, exceed the heavens and still gush out! The lands of the West may be armored with walls of steel, But I have borders guarded by the mighty chest of a believer. Recognize your innate strength, my friend! And think: how can this fiery faith ever be killed, By that battered, single-fanged monster you call ""civilization""?My friend! Leave not my homeland to the hands of villainous men! Render your chest as armor and your body as trench! Stop this disgraceful rush! For soon shall come the joyous days of divine promise... Who knows? Perhaps tomorrow? Perhaps even sooner!View not the soil you tread on as mere earth - recognize it! And think about the shroudless thousands who lie so nobly beneath you. You're the noble son of a martyr, take shame, hurt not your ancestor! Unhand not, even when you're promised worlds, this paradise of a homeland.What man would not die for this heavenly piece of land? Martyrs would gush out should one simply squeeze the soil! Martyrs! May God take my life, all my loved ones and possessions from me if He will, But may He not deprive me of my one true homeland for the world. Oh glorious God, the sole wish of my pain-stricken heart is that, No heathen's hand should ever touch the bosom of my sacred Temples. These adhans, whose shahadahs are the foundations of my religion, May their noble sound last loud and wide over my eternal homeland.For only then, shall my fatigued tombstone, if there is one, prostrate a thousand times in ecstasy, And tears of fiery blood shall flow out of my every wound, And my lifeless body shall gush out from the earth like an eternal spirit, Perhaps only then, shall I peacefully ascend and at long last reach the heavens.So ripple and wave like the bright dawning sky, oh thou glorious crescent, So that our every last drop of blood may finally be blessed and worthy! Neither you nor my race shall ever be extinguished! For freedom is the absolute right of my ever-free flag; For independence is the absolute right of my God-worshiping nation!",turkey,present,,,,
196,turkmenistan,0.259,0.361,5.0,-14.841,1.0,0.0397,0.573,0.973,0.115,0.244,78.334,audio_features,2Ooml0gaI1wr6LOKla4Mvs,spotify:track:2Ooml0gaI1wr6LOKla4Mvs,https://api.spotify.com/v1/tracks/2Ooml0gaI1wr6LOKla4Mvs,https://api.spotify.com/v1/audio-analysis/2Ooml0gaI1wr6LOKla4Mvs,70427.0,4.0,,2Ooml0gaI1wr6LOKla4Mvs,"Turkmenistan: Independent Neutral Turkmenistan State Anthem, ""I am ready to give life for native hearth…"" (2008 onwards)",Turkmenistan,turkmenistan,#28AE66,#C93745,#B47134,#60654E,#65BE8E,#AE915A,Turkmenistan,TM,TKM,Asia,"I am ready to give life for our native hearth The spirit of ancestors descendants are famous for. My land is sacred, my flag flies in the world A symbol of the great neutral country flies, The forever great creation of the people The native land, the sovereign state Forever, the light and song of the soul, Long live and prosper, Turkmenistan! My nation is united and in veins of tribes Our ancestors' blood, undying flows. Storms and misfortunes of times are not dreadful for us, Let us increase fame and honour. ",turkmenistan,absent,,,,
198,uganda,0.257,0.0372,7.0,-18.739,1.0,0.0387,0.83,0.984,0.0743,0.697,85.467,audio_features,4j3HfMRPjPPwqu2tNqp4tF,spotify:track:4j3HfMRPjPPwqu2tNqp4tF,https://api.spotify.com/v1/tracks/4j3HfMRPjPPwqu2tNqp4tF,https://api.spotify.com/v1/audio-analysis/4j3HfMRPjPPwqu2tNqp4tF,33027.0,5.0,,4j3HfMRPjPPwqu2tNqp4tF,"Uganda: Pearl of Africa, ""Oh Uganda! may God upload thee…"" (short version) [arr. P. Breiner]",Uganda,uganda,#FCDC04,#000000,#D90000,#FEFDFD,#544901,#C4A636,Uganda,UG,UGA,Africa,"Oh Uganda! May God uphold Thee, We lay our future in thy hand, United, free, For liberty, Together we'll always stand. Oh Uganda! The land of Freedom, Our love and labor we give, And with neighbours' all, At our Country's call, In peace and friendship, we'll live. Oh Uganda! The land that Feeds us, By sun and fertile soil grown, For our own dear land, We'll always stand, The Pearl of Africa's Crown.",uganda,present,,,,
199,ukraine,0.28,0.3,7.0,-14.096,0.0,0.0342,0.805,0.906,0.0483,0.345,128.846,audio_features,4xIkK3Kxs2obxGvp0el2sT,spotify:track:4xIkK3Kxs2obxGvp0el2sT,https://api.spotify.com/v1/tracks/4xIkK3Kxs2obxGvp0el2sT,https://api.spotify.com/v1/audio-analysis/4xIkK3Kxs2obxGvp0el2sT,87973.0,4.0,,4xIkK3Kxs2obxGvp0el2sT,"Ukraine: ""Ukraine's glory hasn't perished, nor her freedom…"" (Olympic version) [arr. P. Breiner]",Ukraine,ukraine,#FFD500,#005BBB,,,,,Ukraine,UA,UKR,Europe,"Ukraine's glory, Ukraine's freedom did not disappear, Fate will smile on us Ukrainians, our skies will be clear. Our enemies will vanish like a sun-dried foam, We will be the only masters in our dear home. We will give our souls and bodies for our freedom And will show that we are, brothers, in the Cossack breed born!",ukraine,absent,,,,
200,united arab emirates,0.622,0.337,5.0,-14.784,1.0,0.0536,0.783,0.981,0.277,0.586,112.102,audio_features,1DqkmIdD4u5oF5MdqpRN3W,spotify:track:1DqkmIdD4u5oF5MdqpRN3W,https://api.spotify.com/v1/tracks/1DqkmIdD4u5oF5MdqpRN3W,https://api.spotify.com/v1/audio-analysis/1DqkmIdD4u5oF5MdqpRN3W,60800.0,4.0,,1DqkmIdD4u5oF5MdqpRN3W,"United Arab Emirates: ""Live my country, the unity of our Emirates lives…"" (arr. P. Breiner)",United Arab Emirates,united arab emirates,#FF0000,#FFFFFF,#000000,#00732F,#929292,,United Arab Emirates,AE,ARE,Asia,"Live, my country, the unity of our Emirates. You have lived for a nation, Whose religion is Islam, and whose guide is the Qur'an. I made you stronger in the name of God, O homeland. My country, my country, my country, my country. May God protect you from the evil through all times.We have vowed to build and work. Work sincerely, work sincerely, As long as we live we'll be sincere, sincere.May safety last, and the flag rise, O Emirates. Symbol of Arabness. We all make sacrifices for you, we supply you with our blood. We sacrifice for you with our souls, O homeland.",united arab emirates,present,,,,
201,united states of america,0.247,0.112,8.0,-18.399,1.0,0.0336,0.945,0.926,0.128,0.116,71.446,audio_features,5a6FctJZtEx5oqVhFclVHd,spotify:track:5a6FctJZtEx5oqVhFclVHd,https://api.spotify.com/v1/tracks/5a6FctJZtEx5oqVhFclVHd,https://api.spotify.com/v1/audio-analysis/5a6FctJZtEx5oqVhFclVHd,179200.0,4.0,,5a6FctJZtEx5oqVhFclVHd,"United States of America: The Star-Spangled Banner, ""O say, can you see…"" (arr. P. Breiner)",United States of America,united states of america,,,,,,,United States of America,US,USA,North_America,"Oh, say can you see by the dawn's early light What so proudly we hailed at the twilight's last gleaming? Whose broad stripes and bright stars through the perilous fight, O'er the ramparts we watched were so gallantly streaming? And the rocket's red glare, the bombs bursting in air, Gave proof through the night that our flag was still there. Oh, say does that star-spangled banner yet wave O'er the land of the free and the home of the brave? On the shore, dimly seen through the mists of the deep, Where the foe's haughty host in dread silence reposes, What is that which the breeze, o'er the towering steep, As it fitfully blows, half conceals, half discloses? Now it catches the gleam of the morning's first beam, In full glory reflected now shines in the stream: 'Tis the star-spangled banner! Oh long may it wave O'er the land of the free and the home of the brave! And where is that band who so vauntingly swore That the havoc of war and the battle's confusion, A home and a country should leave us no more! Their blood has washed out their foul footsteps' pollution. No refuge could save the hireling and slave From the terror of flight, or the gloom of the grave: And the star-spangled banner in triumph doth wave O'er the land of the free and the home of the brave! Oh! thus be it ever, when freemen shall stand Between their loved home and the war's desolation! Blest with victory and peace, may the heav'n rescued land Praise the Power that hath made and preserved us a nation. Then conquer we must, when our cause it is just, And this be our motto: ""In God is our trust."" And the star-spangled banner in triumph shall wave Over the land of the free and the home of the brave!",united states of america,present,,,,
202,uruguay,0.5,0.0532,10.0,-20.469,1.0,0.0674,0.991,0.892,0.13,0.123,125.258,audio_features,5wBTY8qaku9Fzriwc4NSMj,spotify:track:5wBTY8qaku9Fzriwc4NSMj,https://api.spotify.com/v1/tracks/5wBTY8qaku9Fzriwc4NSMj,https://api.spotify.com/v1/audio-analysis/5wBTY8qaku9Fzriwc4NSMj,71480.0,4.0,,5wBTY8qaku9Fzriwc4NSMj,"Uruguay: ""Eastern landsmen, our country or the tomb!"" (Olympic version) [arr. P. Breiner]",Uruguay,uruguay,#FFFFFF,#9E830E,#C6D3EC,#8DA6D8,#F8CE16,#547AC5,Uruguay,UY,URY,South_America,"Orientals, our nation or the grave, Liberty or with glory we die. Orientals, our nation or the grave, Liberty or with glory we die. Its the vows that our souls pronounce and which heroically we will fulfill. Its the vows that our souls pronounce and which heroically we will fulfill. We will fulfill. Its the vows that our souls pronounce and which heroically we will fulfill. We will fulfill. We will fulfill. We will fulfill. We will fulfill. Liberty, Liberty, Orientals. This is the outcry which our nation saved and its braves in fierce battles of sublime enthusiasm enflamed Liberty, Liberty, Orientals. This is the outcry which our nation saved and its braves in fierce battles of sublime enthusiasm enflamed This Holy gift of Glory we deserved Tyrants: Tremble ! Tyrants: Tremble ! Tyrants: Tremble ! Liberty in combat we will Cry Out! And even dying, Freedom we shall also Shout ! Liberty in combat we will Cry Out! And even dying, Freedom we shall also Shout ! And even dying, Freedom we shall also Shout ! Freedom we shall also Shout ! Freedom we shall also Shout ! Orientals, our nation or the grave, Liberty or with glory we die. Orientals, our nation or the grave, Liberty or with glory we die. Its the vows that our souls pronounce and which heroically we will fulfill. Its the vows that our souls pronounce and which heroically we will fulfill. We will fulfill. Its the vows that our souls pronounce and which heroically we will fulfill. We will fulfill. We will fulfill. We will fulfill. We will fulfill.",uruguay,absent,,,,
203,uzbekistan,0.333,0.144,7.0,-15.868,1.0,0.0372,0.936,0.813,0.112,0.165,70.999,audio_features,4DHoubTQUStjWr4Kkkxsdr,spotify:track:4DHoubTQUStjWr4Kkkxsdr,https://api.spotify.com/v1/tracks/4DHoubTQUStjWr4Kkkxsdr,https://api.spotify.com/v1/audio-analysis/4DHoubTQUStjWr4Kkkxsdr,93853.0,4.0,,4DHoubTQUStjWr4Kkkxsdr,"Uzbekistan: ""Stand tall, my free country, good fortune…"" (Olympic version) [arr. P. Breiner]",Uzbekistan,uzbekistan,#FFFFFF,#1EB53A,#0099B5,#CE1126,#4EB8CC,#89D0DD,Uzbekistan,UZ,UZB,Asia,"My country, sunny and free, salvation to your people, You are a warmhearted companion to the friends Flourish eternally with knowledge and invention, May your fame shine as long as the world exists!   These golden valleys — dear Uzbekistan, Manly spirit of ancestors is companion to you! When the great power of people became exuberant You are the country that amazes the world!   Belief of generous Uzbek does not die out, Free, young children are a strong wing for you! The torch of independence, guardian of peace, Just motherland be eternally prosperous!   These golden valleys — dear Uzbekistan, Manly spirit of ancestors is companion to you! When the great power of people became exuberant You are the country that amazes the world!",uzbekistan,absent,,,,
204,vanuatu,0.415,0.174,10.0,-18.476,1.0,0.0441,0.895,0.985,0.285,0.27,98.513,audio_features,4fz9spjQdzV8UtvXv3KQ1l,spotify:track:4fz9spjQdzV8UtvXv3KQ1l,https://api.spotify.com/v1/tracks/4fz9spjQdzV8UtvXv3KQ1l,https://api.spotify.com/v1/audio-analysis/4fz9spjQdzV8UtvXv3KQ1l,107840.0,4.0,,4fz9spjQdzV8UtvXv3KQ1l,"Vanuatu: ""God has given us this land…"" (arr. P. Breiner)",Vanuatu,vanuatu,#009543,#D21034,#010100,#FCCE12,#A6870B,#7A6308,Vanuatu,VU,VUT,Oceania,"We are, we are, we are happy to proclaim We are, we are, we are the people of Vanuatu God has given us this land, We are grateful for this, We are strong and we are free in this land, We are all brothers! Many customs of before we have, Many customs from today, But we are all one, Despite our many ways! We know there is plenty of work to be done, On all our many islands, God helps us in our work, He is Our Father!",vanuatu,present,,,,
206,venezuela,0.408,0.261,5.0,-14.442,1.0,0.0529,0.941,0.934,0.073,0.448,171.866,audio_features,7dKi7UMkV7lpraAshf7Zim,spotify:track:7dKi7UMkV7lpraAshf7Zim,https://api.spotify.com/v1/tracks/7dKi7UMkV7lpraAshf7Zim,https://api.spotify.com/v1/audio-analysis/7dKi7UMkV7lpraAshf7Zim,78853.0,4.0,,7dKi7UMkV7lpraAshf7Zim,"Venezuela: ""Glory to the brave nation which shook off the yoke…"" (Olympic version) [arr. P. Breiner]",Venezuela,venezuela,#FFCC00,#CF142B,#00247D,#555C53,#441F62,#2E4B94,Venezuela,VE,VEN,South_America,"Glory to the brave people which shook off the yoke, the Law respecting virtue and honour. Down with the chains! Cried out the Lord; and the poor man in his hovel for freedom implored. Upon this holy name trembled in fear the vile selfishness that had once triumphed. Glory to the brave people which shook off the yoke, the Law respecting virtue and honour. Let's cry out aloud:  Down with oppression!  Faithful countrymen, your strength lies in your unity; and from the heavens the supreme Creator breathed a sublime spirit into the nation. Glory to the brave people which shook off the yoke, the Law respecting virtue and honour. United by bonds made by heaven, all America exists as a Nation; and if tyranny raises its voice, follow the example given by Caracas.",venezuela,present,,,,
207,vietnam,0.383,0.228,10.0,-14.958,1.0,0.0302,0.804,0.865,0.423,0.561,79.025,audio_features,1n4S6Bm7EJ7kEJO2MBVtS1,spotify:track:1n4S6Bm7EJ7kEJO2MBVtS1,https://api.spotify.com/v1/tracks/1n4S6Bm7EJ7kEJO2MBVtS1,https://api.spotify.com/v1/audio-analysis/1n4S6Bm7EJ7kEJO2MBVtS1,73587.0,4.0,,1n4S6Bm7EJ7kEJO2MBVtS1,"Vietnam: Tien Quan Ca (The Song of the Marching Troops), ""Soldiers of Vietnam, we go forward…"" [Olympic version] [arr. P. Breiner]",Vietnam,vietnam,#DA251D,#FFFE00,#E67013,,,,Vietnam,VN,VNM,Asia,"Soldiers of Vietnam, marching onward United in determination to save the nation, Our steps resound on the long and arduous road. Our flag, red with the blood of victory, bears the spirit of the country. The distant rumbling of guns mingles with our marching song. The path to glory is built by the bodies of our foes. Overcoming all hardships, together we build our resistance bases. Ceaselessly for the People's cause let us struggle, Let us hasten to the battlefield! Onward! All together advancing! For one eternal Vietnam. ",vietnam,absent,,,,
209,yemen,0.315,0.114,5.0,-17.028,1.0,0.0339,0.937,0.911,0.11,0.297,115.444,audio_features,7hGeCeMkGchfV6Y37lCPix,spotify:track:7hGeCeMkGchfV6Y37lCPix,https://api.spotify.com/v1/tracks/7hGeCeMkGchfV6Y37lCPix,https://api.spotify.com/v1/audio-analysis/7hGeCeMkGchfV6Y37lCPix,92853.0,4.0,,7hGeCeMkGchfV6Y37lCPix,"Yemen: ""Repeat, O World, my song…"" (2005 arrangement)",Yemen,yemen,#000000,#CE1126,#FFFFFF,#ABABAB,#EFB0B7,,Yemen,YE,YEM,Asia,"Repeat, O World, my song. Echo it over and over again. Remember, through my joy, each martyr. Clothe him with the shining mantles of our festivals. Repeat, O World, my song. My unity, Oh marvelous song which fills my heart, You are the promise of all to come, My banner, Oh cloth nailed from every sun Raised forever, on every peak My nation, give me strength, Oh source of strength And save me for you, the best of nations. In faith and love I am part of mankind, And I shall march first among the Arabs. And my heart beat shall remain that of a Yemenite. No foreigner shall ever hold dominion over Yemen.",yemen,absent,,,,
210,zambia,0.295,0.239,7.0,-14.958,1.0,0.0311,0.845,0.904,0.294,0.496,80.947,audio_features,22n9XZJAuh8px5XoUo7vn1,spotify:track:22n9XZJAuh8px5XoUo7vn1,https://api.spotify.com/v1/tracks/22n9XZJAuh8px5XoUo7vn1,https://api.spotify.com/v1/audio-analysis/22n9XZJAuh8px5XoUo7vn1,73227.0,4.0,,22n9XZJAuh8px5XoUo7vn1,"Zambia: ""Stand and sing of Zambia, proud and free…""",Zambia,zambia,#198A00,#EF7D00,#DE2010,#000000,#904F05,#4C6C02,Zambia,ZM,ZMB,Africa,"Stand and sing of Zambia, proud and free, Land of work and joy in unity, Victors in the struggle for the right, We have won freedom's fight. All one, strong and free. Africa is our own motherland, Fashion'd with and blessed by God's good hand, Let us all her people join as one, Brothers under the sun. All one, strong and free. One land and one nation is our cry, Dignity and peace 'neath Zambia's sky, Like our noble eagle in its flight, Zambia, praise to thee. All one, strong and free. Praise be to God. Praise be, praise be, praise be, Bless our great nation, Zambia, Zambia, Zambia. Free men we stand Under the flag of our land. Zambia, praise to thee! All one, strong and free.",zambia,present,,,,
211,zimbabwe,0.174,0.273,7.0,-15.238,1.0,0.037,0.748,0.969,0.126,0.276,152.852,audio_features,4V7hADnXZWrimlEidbh9S8,spotify:track:4V7hADnXZWrimlEidbh9S8,https://api.spotify.com/v1/tracks/4V7hADnXZWrimlEidbh9S8,https://api.spotify.com/v1/audio-analysis/4V7hADnXZWrimlEidbh9S8,59533.0,4.0,,4V7hADnXZWrimlEidbh9S8,"Zimbabwe: Kalibusiswe Ilizwe LeZimbabwe (Blessed be the Land of Zimbabwe), ""O lift high…"" [short version] [arr. P. Breiner]",Zimbabwe,zimbabwe,#319208,#DE2010,#FFFFFF,#000000,#C5C002,#F18507,Zimbabwe,ZW,ZWE,Africa,"Oh lift high the banner, the flag of Zimbabwe The symbol of freedom proclaiming victory; We praise our heroes' sacrifice, And vow to keep our land from foes; And may the Almighty protect and bless our land. Oh lovely Zimbabwe, so wondrously adorned With mountains, and rivers cascading, flowing free; May rain abound, and fertile fields; May we be fed, our labour blessed; And may the Almighty protect and bless our land. Oh God, we beseech Thee to bless our native land; The land of our fathers bestowed upon us all; From Zambezi to Limpopo May leaders be exemplary; And may the Almighty protect and bless our land.",zimbabwe,present,,,,
